timestamp,script_name,action,status,message
2025-05-01 11:38:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:39:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:40:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:41:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:42:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:43:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:44:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:45:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:46:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:47:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:48:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:49:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:50:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:51:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:52:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:53:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:54:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:55:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:56:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:57:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:58:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 11:59:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:00:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:01:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:02:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:03:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:04:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:05:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:06:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:07:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:08:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:09:07,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:10:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:11:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:12:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:13:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:14:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:15:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:16:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:17:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:18:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:19:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:20:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:21:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:22:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:23:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:24:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:25:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:26:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:27:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:28:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:29:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:30:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:31:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:32:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:33:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:34:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:35:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:36:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:37:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:38:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:39:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:40:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:41:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:42:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:43:01,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
2025-05-01 12:44:00,portfolio_tracker.py,SELL skipped,⚠️ HOLD,POWERGRID | 💸 Blocked by Net Profit Rule: ₹-44.05 < ₹5
