SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,E,3607,EQUITY,0,UNIVCABLES,1,Universal Cables,,,,5,NA,ES,EQ,UNIVERSAL CABLES LTD
NSE,E,3608,EQUITY,0,AXISHCETF,1,Axis Nifty Healthcare ETF,,,,1,NA,ETF,EQ,AXISAMC - AXISHCETF
NSE,E,3626,EQUITY,0,HEALTHIETF,1,ICICI Pru Nifty Healthcare ETF,,,,1,NA,ETF,EQ,ICICIPRAMC - ICICIPHARM
NSE,E,3637,EQUITY,0,JUBLPHARMA,1,Jubilant Pharmova,,,,5,NA,ES,EQ,JUBILANT PHARMOVA LTD
NSE,E,3646,EQUITY,0,VARDMNPOLY,1,Vardhman Polytex,,,,1,NA,ES,EQ,VARDHMAN POLYTEX LTD.
NSE,E,3672,EQUITY,0,SOLARA,1,Solara Active Pharma Sciences,,,,5,NA,ES,EQ,SOLARA ACTIVE PHA SCI LTD
NSE,E,3676,EQUITY,0,VESUVIUS,1,Vesuvius,,,,10,NA,ES,EQ,VESUVIUS INDIA LTD
NSE,E,368,EQUITY,0,BASF,1,BASF,,,,10,NA,ES,EQ,BASF INDIA LTD
NSE,E,3694,EQUITY,0,VINDHYATEL,1,Vindhya Telelinks,,,,10,NA,ES,EQ,VINDHYA TELELINKS LTD
NSE,E,3703,EQUITY,0,VIPIND,1,VIP Industries,,,,5,NA,ES,EQ,VIP INDUSTRIES LTD
NSE,E,371,EQUITY,0,BATAINDIA,1,Bata,,,,10,NA,ES,EQ,BATA INDIA LTD
NSE,E,3715,EQUITY,0,VLSFINANCE,1,VLS Finance,,,,1,NA,ES,EQ,VLS FINANCE LTD
NSE,E,3718,EQUITY,0,VOLTAS,1,Voltas,,,,10,NA,ES,EQ,VOLTAS LTD
NSE,E,3721,EQUITY,0,TATACOMM,1,Tata Communications,,,,10,NA,ES,EQ,TATA COMMUNICATIONS LTD
NSE,E,3724,EQUITY,0,VSTIND,1,VST Industries,,,,5,NA,ES,EQ,VST INDUSTRIES LTD
NSE,E,3727,EQUITY,0,ANMOL,1,Anmol,,,,1,NA,ES,EQ,ANMOL INDIA LIMITED
NSE,E,3736,EQUITY,0,WALCHANNAG,1,Walchandnagar Industries,,,,1,NA,ES,EQ,WALCHANDNAGAR INDUSTRIES
NSE,E,3744,EQUITY,0,FINEORG,1,Fine Organic Industries,,,,10,NA,ES,EQ,FINE ORGANIC IND. LTD.
NSE,E,3748,EQUITY,0,WEIZMANIND,1,Weizmann,,,,1,NA,ES,EQ,WEIZMANN LTD
NSE,E,3757,EQUITY,0,VENKEYS,1,Venkys,,,,10,NA,ES,EQ,VENKY S (INDIA) LIMITED
